18	24
18	24
17	23
17	24
24	31
20	28
22	29
22	31
20	28
20	27
18	25
17	26
18	25
23	30
18	25
20	27
18	25
18	25
17	24
17	24
15	22
15	21
14	20
20	28
20	28
21	29
20	29
19	27
20	29
19	27
19	26
20	30
19	28
20	30
20	29
19	28
20	30
18	26
18	26
18	26
16	23
16	24
16	23
16	22
20	28
21	29
20	30
20	29
20	29
20	29
18	28
15	21
18	28
20	30
19	26
18	25
18	26
18	26
13	17
14	18
18	26
16	21
17	25
14	17
14	18
28	34
28	34
26	37
26	37
26	37
18	23
18	25
18	25
21	32
20	30
18	28
24	34
22	30
23	32
22	30
21	32
18	28
15	21
13	17
16	19
14	18
14	18
19	22
16	21
19	26
21	27
18	27
18	27
21	29
19	27
17	25
17	23
22	29
22	29
22	30
22	30
21	28
21	28
18	25
19	26
16	19
20	26
16	22
16	22
15	21
18	25
18	27
21	29
29	36
29	36
16	21
21	28
21	28
*	*
17	25
17	25
17	25
18	23
*	*
15	19
15	20
15	19
14	18
27	36
26	33
21	28
26	33
26	33
26	33
17	23
20	29
17	25
24	29
20	27
19	26
19	26
17	24
19	24
15	19
16	20
17	20
15	19
13	17
26	34
21	30
26	34
21	30
32	38
32	37
36	44
46	51
32	38
26	30
21	25
21	24
60	66
18	25
18	25
17	22
20	25
10	12
29	33
29	33
29	33
26	34
26	34
26	34
20	26
19	27
19	27
19	26
17	26
17	26
16	22
15	19
18	26
18	26
18	26
19	26
17	23
17	23
15	20
17	21
18	26
18	28
17	24
18	28
18	28
17	24
18	26
18	26
16	23
16	23
18	26
18	25
16	21
20	24
16	19
17	25
23	30
20	27
25	32
26	33
26	33
16	22
16	19
24	32
24	32
24	32
12	16
18	21
12	16
20	29
18	25
18	23
15	19
18	24
18	25
18	24
18	25
13	17
18	24
18	23
13	18
20	26
20	26
17	24
17	24
13	18
17	25
17	25
17	25
24	29
15	19
18	25
23	28
23	28
18	25
18	24
22	25
24	32
22	30
19	25
20	25
19	25
16	21
20	26
19	27
19	26
19	26
16	24
13	19
20	26
17	22
19	27
19	27
16	24
16	20
13	14
14	17
18	26
16	24
16	23
14	21
13	19
21	29
17	22
17	25
17	25
17	25
17	23
16	23
16	21
19	26
20	27
19	26
28	37
25	34
18	25
21	28
21	28
17	21
18	26
18	26
15	19
21	27
20	26
20	26
21	26
21	26
17	20
20	28
20	28
20	25
13	19
16	21
19	26
18	25
28	35
28	35
23	28
14	18
17	20
20	29
24	32
19	26
19	26
20	29
20	30
20	30
19	26
18	24
24	33
24	33
29	36
17	24
18	26
17	24
18	26
20	29
18	26
14	18
20	28
21	30
21	29
20	28
19	29
21	29
21	29
26	35
24	34
20	28
26	35
26	35
26	35
26	35
21	26
32	38
31	35
21	28
21	28
22	28
20	27
18	24
21	28
21	28
21	28
19	26
19	26
20	27
25	31
25	31
24	29
22	30
24	31
20	27
19	22
18	22
18	21
21	29
21	29
24	33
21	29
24	33
20	29
20	29
21	29
24	33
32	40
32	40
32	40
33	39
35	43
35	43
18	24
13	17
29	36
26	32
59	51
22	27
14	17
19	27
19	27
22	27
14	17
16	20
24	31
24	31
24	30
21	30
38	46
24	31
24	30
22	31
22	31
19	26
18	25
18	25
15	20
20	26
21	28
22	29
20	27
18	25
20	28
20	27
20	28
19	26
22	29
20	27
15	20
